Cluster,Node,Coordinates
1,MCCL,[ 0.09813233 -0.26282834]
1,MCRY,[-0.15209858 -0.24347097]
1,MDS,[ 0.03013396 -0.30186726]
1,MDW,[ 0.3406836  -0.21263892]
1,METW,[-0.07909038 -0.23868241]
1,MI,[-0.09461355 -0.25478926]
1,MILW,[-0.10380056 -0.25121708]
1,MISS,[-0.1338044  -0.34177376]
1,MMR,[ 0.2631326  -0.23593179]
1,MNNR,[ 0.49410113 -0.00667973]
1,MNS,[ 0.20260999 -0.27604569]
1,MNVA,[ 0.19690393 -0.2449086 ]
1,MRMZ,[ 0.13066584 -0.22766644]
1,MSCI,[ 0.21385418 -0.32025873]
1,MSDR,[ 0.06044827 -0.33880849]
1,MSE,[-0.03209789 -0.34227891]
1,MSR,[-0.13908627 -0.31857309]
1,MSRC,[ 0.46558354 -0.2865634 ]
1,MT,[ 0.03728406 -0.32222874]
1,MTFR,[ 0.20254709 -0.27777697]
1,MTNR,[ 0.01446326 -0.32594965]
1,MTRY,[ 0.23662916 -0.27737096]
1,MTW,[-0.13720234 -0.25353208]
1,NIRC,[-0.07139081 -0.24870379]
1,NSCR,[0.4950572  0.51558614]
1,NSSX,[ 0.19191494 -0.24480797]
1,NTR,[-0.29205827 -0.32749118]
1,NTZR,[-0.05602355 -0.31123818]
1,OAR,[ 0.05945936 -0.34420169]
1,OTVR,[ 0.3837484  -0.16573917]
1,PACY,[-0.13267083 -0.26061342]
1,PBVR,[ 0.05777368 -0.33490451]
1,PHRR,[ 0.05464687 -0.27123067]
1,PPU,[-0.14191783 -0.25389059]
1,PRV,[-0.14180627 -0.34014108]
1,PRY,[ 0.12393669 -0.27912697]
1,RNA,[-0.01532419 -0.31812583]
1,RRVW,[ 0.4605948  -0.15407797]
1,SOO,[-0.14431112 -0.22613282]
1,SR,[-0.2845658  -0.31854804]
1,SSWN,[ 0.0729059  -0.27261411]
1,SVIZ,[ 0.0859817  -0.27906519]
1,TCWR,[0.52738408 0.07693603]
1,TR,[-0.15024195 -0.23029482]
1,TRRA,[ 0.0209485 -0.2724846]
1,TZPR,[ 0.06342139 -0.26626882]
1,UPME,[ 0.02431623 -0.23106622]
1,VRRC,[ 0.03053849 -0.27359691]
1,VSOR,[ 0.00284848 -0.32097755]
1,WC,[-0.11608751 -0.20084289]
1,WICT,[-0.10860089 -0.24156629]
1,WIWR,[-0.15856451 -0.25542297]
1,WLO,[ 0.13358523 -0.28618956]
1,WN,[0.13101568 0.04367395]
1,WOHO,[ 0.03053849 -0.27359691]
1,WSOR,[ 0.07962518 -0.19846547]
1,WVRC,[-0.1617566  -0.25209705]
2,ABL,[0.9501683  0.01745248]
2,ACEX,[ 0.82991724 -0.04781037]
2,ADN,[ 0.86005396 -0.07178153]
2,AERC,[ 0.90026433 -0.00372628]
2,AGCR,[ 0.91337153 -0.00935112]
2,AKDN,[ 0.78784204 -0.12011891]
2,AKMD,[ 0.88393254 -0.03355419]
2,AL,[0.94210327 0.014868  ]
2,ALM,[ 0.77664369 -0.13466279]
2,AM,[ 0.85255079 -0.0591681 ]
